Home goals,Home shots,Home misses,Home blocks,Home Corsi,Away goals,Away shots,Away misses,Away blocks,Away Corsi
2,16,5,9,32,1,38,16,19,74
2,47,13,11,73,0,28,8,10,46
2,30,14,26,72,6,27,4,9,46
4,27,16,17,64,2,27,16,20,65
0,37,13,14,64,1,23,6,13,43
3,20,11,14,48,1,22,3,13,39
5,19,13,9,46,2,39,16,18,75
1,34,7,15,57,4,32,8,11,55
0,39,16,18,73,3,21,5,8,37
2,42,18,19,81,3,21,11,11,46
6,20,16,10,52,5,33,15,10,63
4,36,18,12,70,3,26,7,7,43
2,30,24,14,70,2,23,10,22,57
6,23,8,6,43,2,31,13,23,69
4,20,10,14,48,1,33,17,25,76
2,32,10,18,62,4,41,12,20,77
3,27,20,26,76,1,37,17,15,70
3,23,15,14,55,6,16,8,20,50
0,22,8,8,38,1,25,10,12,48
7,35,9,16,67,4,27,3,15,49
4,33,18,10,65,0,15,9,8,32
2,21,10,5,38,7,34,13,10,64
3,26,18,16,63,2,18,11,9,40
0,29,17,13,59,4,31,6,18,59
2,34,24,20,80,4,13,8,8,33
1,25,18,20,64,3,30,10,13,56
2,24,13,14,53,5,18,16,17,56
3,30,7,8,48,4,35,14,12,65
2,33,9,14,58,5,22,11,11,49
0,32,12,22,66,4,25,10,14,53
3,33,14,23,73,4,27,22,9,62
5,43,14,13,75,1,18,8,8,35
1,31,14,13,59,4,23,13,12,52
2,15,8,16,41,1,34,16,11,62
6,27,18,10,61,4,25,8,11,48
3,20,8,8,39,2,23,11,14,50
2,25,15,24,66,3,29,21,26,79
2,26,6,19,53,3,29,9,12,53
3,29,22,23,77,2,26,16,19,63
4,36,7,17,64,1,21,8,17,47
3,26,14,11,54,2,18,10,17,47
3,15,11,7,36,0,34,15,14,63
3,32,9,19,63,4,23,11,9,47
1,27,11,22,61,2,23,8,9,42
2,22,16,13,53,5,16,14,15,50
5,26,7,17,55,2,30,10,28,70
2,13,4,10,29,1,39,13,11,64
1,30,13,17,61,1,26,6,13,46
4,42,13,22,81,4,26,4,11,45
4,23,14,7,48,3,39,14,27,83
2,32,12,4,50,5,24,9,7,45
3,24,14,14,55,1,20,10,14,45
4,14,13,13,44,1,18,16,24,59
5,20,9,16,50,2,28,21,17,68
1,23,10,14,48,4,27,10,5,46
1,20,13,17,51,2,17,11,17,47
1,33,10,25,69,1,29,15,23,68
8,19,14,13,54,3,23,18,18,62
4,33,8,8,53,1,25,8,22,56
4,23,10,12,49,3,21,11,26,61
5,36,5,10,56,2,22,7,20,51
4,24,13,10,51,3,24,11,12,50
0,26,13,18,57,3,21,11,11,46
3,37,10,16,66,2,23,8,5,38
2,23,13,9,47,3,19,10,12,44
4,29,23,13,69,1,31,5,11,48
3,26,20,14,63,0,21,12,8,41
2,32,13,13,60,4,22,15,18,59
3,26,16,9,54,2,20,10,8,40
5,25,15,14,59,6,22,18,10,56
4,28,11,19,62,5,22,6,15,48
2,17,10,8,37,4,43,16,20,83
2,34,17,8,61,3,25,11,13,52
0,24,14,15,53,5,28,4,9,46
3,33,11,18,65,2,33,10,14,59
2,24,16,11,53,3,36,16,13,68
